time,water_flow,temperature,vacuum_pressure
0,100.49671415301123,25.15390088444603,1.006628812686674e-06
1,99.86173569882881,24.144915803671687,1.011734738574853e-06
2,100.6476885381007,24.325907288947143,1.001810215587037e-06
3,101.52302985640803,25.371632047011357,9.870316805204416e-07
4,99.76584662527667,25.08543271906397,1.0039968795175264e-06
5,99.76586304305081,24.90800833182366,9.934864310620817e-07
6,101.57921281550739,25.009216966532698,9.947138331825024e-07
7,100.76743472915291,25.173790852680835,1.0058636401875509e-06
8,99.53052561406504,24.73012015984532,1.0123828307143364e-06
9,100.54256004358596,24.610847637298843,1.0002127157673606e-06
10,99.53658230718754,25.09792262754884,1.0030883301259896e-06
11,99.53427024642974,24.510813611192486,1.0170221494463524e-06
12,100.24196227156604,25.204126377857236,1.0024075317948856e-06
13,98.0867197553422,24.14870819788108,1.0260168311418039e-06
14,98.27508216748697,25.514577818662822,1.0056550964563154e-06
15,99.43771247075902,25.23629874120652,9.823923724084418e-07
16,98.98716887966557,25.12801486715694,1.0075334162110452e-06
17,100.31424733259527,25.49134549197276,1.0038115838488278e-06
18,99.09197592447879,25.832737222231287,1.0128975275408275e-06
19,98.58769629866471,25.507185032509064,1.0067318135126994e-06
20,101.46564876892155,24.079562884334177,9.986154401601622e-07
21,99.77422369951347,24.36021151663215,9.877570176371063e-07
22,100.06752820468792,24.68759071115216,9.979097674271396e-07
23,98.57525181378654,25.013045525105415,9.914947954579069e-07
24,99.45561727547482,25.258829510234563,9.941947655019527e-07
25,100.11092258970987,24.637128093423268,1.005885784044206e-06
26,98.8490064225777,25.09338338223854,1.016699045043514e-06
27,100.37569801834567,24.62230853382334,1.0039467152982297e-06
28,99.39936131008119,24.694241098504026,9.88041169379648e-07
29,99.70830625020672,24.296669451575887,1.0044460266822013e-06
30,99.39829338777061,24.538383376944548,1.0119663148664565e-06
31,101.85227818450893,24.324157697191833,9.93902170956806e-07
32,99.98650277526207,24.512063373511335,9.986598283332709e-07
33,98.9422890710441,25.52682089830392,1.0001468819472919e-06
34,100.82254491210318,24.525300555584028,9.921510168691775e-07
35,98.77915635002898,26.316191032418697,1.0064828043384385e-06
36,100.20886359500476,25.246658950440445,9.987905185139222e-07
37,98.04032987612023,25.092418061847436,1.0041953244390702e-06
38,98.67181395110157,24.570821109909392,9.91125078221979e-07
39,100.19686123586912,25.350154939704495,9.956254169967658e-07
40,100.7384665799954,24.712181086881113,1.0072238135782776e-06
41,100.17136828118997,25.06100490732268,9.962716684790823e-07
42,99.88435171761176,26.2800422691344,1.017269638512334e-06
43,99.69889630441071,24.951970050137675,9.960036381438539e-07
44,98.52147800963257,25.574636663142837,1.0022468472575189e-06
45,99.2801557916053,24.648411787437055,1.0093259083187309e-06
46,99.53936122904021,24.982505754751518,9.858163426706696e-07
47,101.05712222621892,25.885400317817755,9.823919118801923e-07
48,100.34361828956847,24.686516471106117,9.84743436854299e-07
49,98.23695984463727,25.906224278998465,1.0126258410342717e-06
50,100.32408396939479,25.35387596772774,9.944814185410754e-07
51,99.61491771958369,24.718766612052868,1.0255819928566824e-06
52,99.32307799969404,25.31620386952776,9.943575240134261e-07
53,100.61167628884087,25.486277224813364,1.0018455130319703e-06
54,101.03099952249595,25.3109049811086,1.0154210995256786e-06
55,100.9312801191162,24.214887640054773,1.0200609288815912e-06
56,99.16078247677736,24.636431412087564,1.0206150357663639e-06
57,99.69078762414878,24.876240682224246,1.0120836623059314e-06
58,100.33126343140357,24.962783285449976,1.0102406252581146e-06
59,100.97554512712236,25.31033604877534,1.0059252694920118e-06
60,99.52082576215471,25.088850500466627,1.0077836107616664e-06
61,99.81434102333618,24.33232782064495,9.944881428367145e-07
62,98.89366502599397,25.19009892550298,9.918180111657768e-07
63,98.80379337591933,25.30529287264191,9.999662554258903e-07
64,100.81252582239419,25.27989522396552,9.982981537747508e-07
65,101.35624002857082,25.540390362777313,9.954677195067272e-07
66,99.92798987841967,25.41696107727445,1.006963874474567e-06
67,101.00353289789203,25.22959003961422,1.0095530520857051e-06
68,100.36163602504763,24.964917144270675,1.0008840688629185e-06
69,99.35488024539488,24.169519533242003,1.0147753008105525e-06
70,100.36139560550842,25.214809109566293,9.88583108858665e-07
71,101.53803656646596,25.103843843581554,9.980634054072028e-07
72,99.96417396089005,25.135789418597685,9.92831776793972e-07
73,101.56464365581401,24.361625712089847,9.813346338292694e-07
74,97.38025489591026,24.45947172979587,9.99173193141573e-07
75,100.82190250437522,25.526576426666452,9.987825249161671e-07
76,100.08704706823818,24.980222423071673,1.0151344974324212e-06
77,99.70099264953413,25.340750348686313,1.0063081168455477e-06
78,100.09176077653551,25.014159188065232,9.89758131756708e-07
79,98.0124310853991,25.014878069747873,1.0185409256633418e-06
80,99.7803281121625,25.469141902988,1.0122103369552535e-06
